order_id,order_date,customer_id,gender,age_group,region,category,product,quantity,unit_price,discount,revenue,channel,status
ORD00107,2023-06-30,CUST0776,Other,35-44,South,Clothing,Hoodie,1,174.98,0.0,174.98,Email,Completed
ORD00108,2023-09-08,CUST0916,Other,25-34,South,Electronics,Phone Case,1,283.42,0.15,240.91,Social Media,Completed
ORD00109,2023-05-15,CUST0001,Male,35-44,North,Beauty,Face Serum,1,15.52,0.05,14.74,Organic Search,Cancelled
ORD00110,2023-03-20,CUST0935,Male,45-54,West,Beauty,Hair Mask,2,80.88,0.05,153.67,Social Media,Completed
ORD00111,2023-06-01,CUST0969,Other,45-54,North,Books,Data Science Handbook,1,47.68,0.1,42.91,Social Media,Returned
ORD00112,2023-04-24,CUST0598,Male,35-44,Central,Electronics,Smart Watch,1,15.74,0.05,14.95,Direct,Cancelled
ORD00113,2023-10-30,CUST0839,Female,45-54,East,Clothing,T-Shirt,1,19.69,0.0,19.69,Organic Search,Completed
ORD00114,2023-09-21,CUST0391,Other,35-44,East,Home & Kitchen,Coffee Maker,3,35.36,0.0,106.08,Social Media,Completed
ORD00115,2023-08-13,CUST0923,Male,55+,West,Books,Python Programming,3,51.55,0.05,146.92,Email,Cancelled
ORD00116,2023-10-09,CUST1134,Other,55+,Central,Beauty,Lip Balm,1,87.0,0.1,78.3,Email,Cancelled
ORD00117,2023-09-19,CUST0356,Male,25-34,South,Clothing,Jacket,4,143.22,0.05,544.24,Paid Ad,Completed
ORD00118,2023-05-02,CUST0858,Female,55+,Central,Clothing,Jacket,1,113.84,0.15,96.76,Direct,Completed
ORD00119,2023-10-16,CUST0846,Male,18-24,South,Electronics,Bluetooth Speaker,1,340.11,0.0,340.11,Direct,Cancelled
ORD00120,2023-07-27,CUST0446,Other,18-24,East,Electronics,USB Hub,2,303.34,0.15,515.68,Paid Ad,Completed
ORD00121,2023-09-20,CUST0365,Other,45-54,West,Home & Kitchen,Blender,4,154.19,0.0,616.76,Direct,Cancelled
ORD00122,2023-10-17,CUST1194,Female,55+,South,Home & Kitchen,Blender,3,159.17,0.05,453.63,Direct,Returned
ORD00123,2023-06-08,CUST1071,Female,35-44,North,Home & Kitchen,Scented Candle,3,70.04,0.1,189.11,Organic Search,Completed
ORD00124,2023-04-04,CUST0330,Female,18-24,East,Clothing,T-Shirt,1,124.6,0.1,112.14,Social Media,Completed
ORD00125,2023-05-15,CUST0067,Male,35-44,South,Electronics,Wireless Earbuds,1,246.35,0.1,221.72,Social Media,Returned
ORD00126,2023-07-04,CUST0487,Other,55+,North,Electronics,USB Hub,2,304.72,0.05,578.97,Direct,Completed
ORD00127,2023-09-23,CUST0641,Male,35-44,Central,Home & Kitchen,Air Fryer,1,204.56,0.2,163.65,Direct,Completed
ORD00128,2023-10-06,CUST0908,Male,55+,East,Electronics,Bluetooth Speaker,3,83.03,0.15,211.73,Paid Ad,Completed
ORD00129,2023-01-24,CUST0397,Other,55+,East,Books,Cook Book,1,42.71,0.1,38.44,Social Media,Returned
ORD00130,2023-07-21,CUST0773,Female,18-24,Central,Electronics,Wireless Earbuds,1,77.64,0.05,73.76,Organic Search,Returned
ORD00131,2023-07-02,CUST0677,Female,45-54,Central,Electronics,Bluetooth Speaker,2,58.57,0.0,117.14,Email,Completed
ORD00132,2023-05-13,CUST0617,Other,45-54,West,Electronics,Bluetooth Speaker,3,214.95,0.05,612.61,Email,Cancelled
ORD00133,2023-04-08,CUST0377,Male,25-34,North,Home & Kitchen,Air Fryer,1,174.65,0.0,174.65,Direct,Completed
ORD00134,2023-06-13,CUST0454,Female,25-34,South,Books,Data Science Handbook,2,27.55,0.0,55.1,Paid Ad,Completed
ORD00135,2023-11-05,CUST1150,Female,18-24,East,Clothing,Hoodie,3,48.7,0.05,138.8,Organic Search,Completed
ORD00136,2023-06-10,CUST0500,Other,25-34,West,Home & Kitchen,Bed Sheets,2,60.47,0.15,102.8,Organic Search,Completed
ORD00137,2023-07-23,CUST1059,Male,18-24,North,Clothing,T-Shirt,2,76.83,0.0,153.66,Social Media,Cancelled
ORD00138,2023-08-27,CUST0657,Male,18-24,Central,Books,Novel,1,30.88,0.05,29.34,Direct,Completed
ORD00139,2023-06-20,CUST0135,Other,35-44,East,Beauty,Lip Balm,3,87.65,0.05,249.8,Paid Ad,Completed
ORD00140,2023-11-22,CUST0892,Other,25-34,Central,Books,Novel,1,47.28,0.1,42.55,Organic Search,Completed
ORD00141,2023-11-16,CUST0516,Male,45-54,West,Electronics,Bluetooth Speaker,1,27.69,0.0,27.69,Direct,Completed
ORD00142,2023-05-22,CUST0829,Female,55+,Central,Home & Kitchen,Coffee Maker,1,201.31,0.0,201.31,Email,Completed
ORD00143,2023-07-18,CUST1200,Other,35-44,South,Electronics,Wireless Earbuds,2,194.17,0.05,368.92,Organic Search,Completed
ORD00144,2023-06-04,CUST0178,Female,55+,Central,Clothing,Jacket,3,29.83,0.0,89.49,Social Media,Returned
ORD00145,2023-05-31,CUST0801,Male,35-44,North,Clothing,T-Shirt,2,91.63,0.0,183.26,Direct,Completed
ORD00146,2023-02-24,CUST0765,Male,45-54,East,Beauty,Lip Balm,4,31.74,0.2,101.57,Organic Search,Cancelled
ORD00147,2023-08-09,CUST1101,Other,35-44,East,Books,Data Science Handbook,1,13.79,0.05,13.1,Direct,Completed
ORD00148,2023-07-19,CUST0292,Other,35-44,North,Clothing,Hoodie,4,47.57,0.15,161.74,Paid Ad,Completed
ORD00149,2023-03-05,CUST0112,Female,45-54,Central,Electronics,Bluetooth Speaker,1,80.1,0.1,72.09,Direct,Returned
ORD00150,2023-05-29,CUST1190,Female,55+,Central,Home & Kitchen,Air Fryer,1,71.04,0.0,71.04,Email,Completed
ORD00151,2023-10-22,CUST0651,Female,55+,Central,Clothing,Jeans,2,28.81,0.15,48.98,Email,Returned
ORD00152,2023-05-19,CUST0648,Female,45-54,South,Clothing,Hoodie,1,128.5,0.05,122.07,Email,Completed
ORD00153,2023-04-18,CUST0567,Other,25-34,East,Electronics,Smart Watch,2,278.2,0.05,528.58,Social Media,Completed
ORD00154,2023-07-17,CUST0626,Other,35-44,North,Home & Kitchen,Blender,1,194.36,0.0,194.36,Email,Cancelled
ORD00155,2023-12-03,CUST1104,Other,18-24,North,Electronics,USB Hub,1,42.46,0.1,38.21,Paid Ad,Completed
ORD00156,2023-05-19,CUST0064,Male,25-34,East,Home & Kitchen,Air Fryer,4,162.76,0.1,585.94,Direct,Cancelled
ORD00157,2023-08-21,CUST1106,Male,25-34,East,Clothing,Jacket,1,47.74,0.0,47.74,Email,Completed
ORD00158,2023-09-09,CUST0275,Female,18-24,South,Clothing,Jeans,2,161.76,0.15,274.99,Email,Cancelled
ORD00159,2023-05-18,CUST0340,Female,55+,East,Clothing,Sneakers,1,73.13,0.0,73.13,Direct,Completed
ORD00160,2023-09-01,CUST0300,Male,18-24,Central,Clothing,Jeans,2,107.15,0.15,182.16,Email,Completed
ORD00161,2023-06-20,CUST0424,Other,25-34,North,Electronics,Phone Case,1,92.64,0.0,92.64,Direct,Completed
ORD00162,2023-08-13,CUST0212,Other,18-24,South,Clothing,Sneakers,1,160.1,0.05,152.09,Direct,Completed
ORD00163,2023-08-13,CUST0776,Other,35-44,South,Books,Self-Help Guide,2,35.2,0.0,70.4,Social Media,Cancelled
ORD00164,2023-07-26,CUST1058,Female,35-44,Central,Home & Kitchen,Air Fryer,1,118.5,0.15,100.72,Email,Completed
ORD00165,2023-03-26,CUST1028,Female,55+,South,Books,Self-Help Guide,1,30.88,0.05,29.34,Paid Ad,Returned
ORD00166,2023-09-28,CUST0323,Female,55+,Central,Electronics,Wireless Earbuds,1,187.37,0.0,187.37,Social Media,Cancelled
ORD00167,2023-06-09,CUST0233,Other,25-34,East,Home & Kitchen,Air Fryer,1,148.83,0.0,148.83,Email,Returned
ORD00168,2023-05-02,CUST0089,Female,35-44,East,Clothing,Jacket,3,39.09,0.0,117.27,Paid Ad,Cancelled
ORD00169,2023-02-26,CUST0115,Male,35-44,North,Home & Kitchen,Coffee Maker,1,142.2,0.05,135.09,Paid Ad,Completed
ORD00170,2023-08-05,CUST0039,Female,55+,North,Beauty,Moisturiser,2,86.53,0.05,164.41,Social Media,Completed
ORD00171,2023-08-22,CUST0842,Female,45-54,North,Electronics,USB Hub,3,347.58,0.0,1042.74,Direct,Completed
ORD00172,2023-02-06,CUST0702,Other,55+,Central,Books,Data Science Handbook,2,37.29,0.0,74.58,Email,Cancelled
ORD00173,2023-07-21,CUST1071,Female,35-44,North,Home & Kitchen,Coffee Maker,1,89.42,0.0,89.42,Direct,Returned
ORD00174,2023-05-15,CUST0080,Male,25-34,East,Books,Cook Book,1,12.53,0.05,11.9,Direct,Cancelled
ORD00175,2023-08-15,CUST0003,Female,45-54,East,Books,Python Programming,1,30.67,0.05,29.14,Email,Cancelled
ORD00176,2023-04-28,CUST0988,Male,18-24,South,Clothing,T-Shirt,1,129.2,0.15,109.82,Email,Completed
ORD00177,2023-08-25,CUST0477,Female,45-54,South,Home & Kitchen,Scented Candle,1,30.52,0.0,30.52,Organic Search,Completed
ORD00178,2023-06-25,CUST0015,Other,45-54,South,Home & Kitchen,Scented Candle,1,95.82,0.1,86.24,Direct,Cancelled
ORD00179,2023-11-03,CUST0838,Other,55+,West,Electronics,Wireless Earbuds,1,140.64,0.1,126.58,Social Media,Completed
ORD00180,2023-04-15,CUST0749,Female,25-34,East,Electronics,USB Hub,3,99.97,0.0,299.91,Direct,Completed
ORD00181,2023-06-14,CUST0989,Male,25-34,West,Beauty,Sunscreen,1,69.66,0.1,62.69,Paid Ad,Completed
ORD00182,2023-04-05,CUST0816,Other,45-54,North,Home & Kitchen,Bed Sheets,1,63.29,0.0,63.29,Paid Ad,Completed
ORD00183,2023-10-28,CUST1042,Male,35-44,West,Home & Kitchen,Bed Sheets,4,174.45,0.0,697.8,Email,Completed
ORD00184,2023-10-11,CUST0011,Female,35-44,West,Books,Cook Book,2,40.76,0.0,81.52,Organic Search,Completed
ORD00185,2023-05-24,CUST0164,Male,55+,South,Clothing,Jacket,1,85.14,0.0,85.14,Direct,Completed
ORD00186,2023-08-18,CUST0118,Female,18-24,South,Home & Kitchen,Bed Sheets,2,138.93,0.1,250.07,Paid Ad,Returned
ORD00187,2023-09-23,CUST0399,Other,45-54,West,Clothing,Jeans,4,154.9,0.05,588.62,Organic Search,Cancelled
ORD00188,2023-07-30,CUST0001,Male,35-44,North,Clothing,Jeans,2,115.35,0.0,230.7,Paid Ad,Completed
ORD00189,2023-07-25,CUST1061,Other,45-54,East,Beauty,Sunscreen,1,36.31,0.05,34.49,Organic Search,Completed
ORD00190,2023-05-19,CUST0713,Female,55+,North,Beauty,Moisturiser,3,30.61,0.15,78.06,Social Media,Completed
ORD00191,2023-03-28,CUST0359,Other,45-54,East,Electronics,Smart Watch,1,167.34,0.0,167.34,Email,Cancelled
ORD00192,2023-10-18,CUST1052,Other,25-34,Central,Electronics,Wireless Earbuds,1,183.56,0.0,183.56,Social Media,Cancelled
ORD00193,2023-10-19,CUST0991,Female,18-24,Central,Books,Cook Book,1,19.76,0.0,19.76,Paid Ad,Completed
ORD00194,2023-08-13,CUST0988,Male,18-24,South,Beauty,Sunscreen,4,63.57,0.15,216.14,Organic Search,Completed
ORD00195,2023-06-14,CUST0724,Male,35-44,East,Electronics,Smart Watch,1,241.77,0.0,241.77,Direct,Cancelled
ORD00196,2023-06-16,CUST0701,Male,25-34,South,Electronics,Bluetooth Speaker,1,98.17,0.05,93.26,Organic Search,Cancelled
ORD00197,2023-09-01,CUST0375,Male,45-54,West,Beauty,Sunscreen,1,33.05,0.05,31.4,Paid Ad,Returned
ORD00198,2023-10-18,CUST0416,Female,18-24,West,Home & Kitchen,Coffee Maker,4,164.44,0.0,657.76,Paid Ad,Cancelled
ORD00199,2023-10-14,CUST1009,Female,18-24,West,Clothing,T-Shirt,1,32.14,0.2,25.71,Direct,Completed
ORD00200,2023-09-13,CUST0646,Male,45-54,North,Books,Cook Book,3,53.03,0.0,159.09,Email,Cancelled
ORD00201,2023-08-15,CUST0815,Male,45-54,West,Books,Novel,3,16.59,0.05,47.28,Paid Ad,Cancelled
ORD00202,2023-03-23,CUST1030,Male,25-34,North,Electronics,USB Hub,1,282.76,0.05,268.62,Social Media,Returned
ORD00203,2023-04-24,CUST0647,Male,35-44,North,Books,Data Science Handbook,1,29.49,0.05,28.02,Organic Search,Completed
ORD00204,2023-10-18,CUST0532,Other,18-24,South,Home & Kitchen,Bed Sheets,1,132.01,0.05,125.41,Paid Ad,Cancelled
ORD00205,2023-08-08,CUST1022,Female,25-34,West,Electronics,Bluetooth Speaker,2,172.9,0.0,345.8,Email,Completed
ORD00206,2023-01-28,CUST1171,Other,18-24,West,Clothing,Hoodie,1,73.33,0.0,73.33,Paid Ad,Cancelled
ORD00207,2023-03-31,CUST0781,Female,35-44,Central,Home & Kitchen,Air Fryer,3,161.37,0.05,459.9,Paid Ad,Completed
ORD00208,2023-08-19,CUST0276,Other,25-34,North,Books,Data Science Handbook,1,30.23,0.0,30.23,Direct,Cancelled
ORD00209,2023-01-21,CUST0816,Other,45-54,North,Home & Kitchen,Bed Sheets,2,73.01,0.05,138.72,Organic Search,Completed
ORD00210,2023-04-24,CUST0686,Female,18-24,Central,Electronics,Bluetooth Speaker,2,174.64,0.0,349.28,Social Media,Completed
ORD00211,2023-07-28,CUST0249,Other,45-54,North,Clothing,Jacket,1,168.55,0.0,168.55,Social Media,Cancelled
ORD00212,2023-08-25,CUST0583,Female,45-54,West,Electronics,USB Hub,2,232.7,0.2,372.32,Social Media,Completed
ORD00213,2023-08-17,CUST0587,Other,45-54,West,Home & Kitchen,Bed Sheets,1,172.7,0.0,172.7,Email,Completed
ORD00214,2023-05-14,CUST0147,Male,35-44,Central,Books,Self-Help Guide,2,27.83,0.0,55.66,Organic Search,Completed
ORD00215,2023-08-29,CUST0810,Other,45-54,East,Clothing,Hoodie,1,65.24,0.0,65.24,Social Media,Returned
ORD00216,2023-05-18,CUST0343,Male,25-34,North,Books,Self-Help Guide,2,43.15,0.0,86.3,Paid Ad,Completed
ORD00217,2023-06-10,CUST0164,Male,55+,South,Electronics,Smart Watch,4,236.78,0.1,852.41,Paid Ad,Completed
ORD00218,2023-09-06,CUST0054,Other,35-44,Central,Clothing,T-Shirt,4,22.72,0.05,86.34,Email,Cancelled
